1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism,Populism
Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Deintermediation,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Intimacy,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity,Cognitive simplicity
references to institutional processes and principles,references to institutional processes and principles,"references to instititutions (democratic ones, media, judiciary)","references to instititutions (democratic ones, media, judiciary)",references to political parties,references to political parties,1st person singular,1st person singular,3nd person singular,3nd person singular,1st person plural,1st person plural,3rd person singular,3rd person singular,3rd person plural,3rd person plural,risk,risk,assent,assent,stuff related to electoral processes,stuff related to electoral processes,stuff related to schemes attached to one persona/govt and not to government processes,stuff related to schemes attached to one persona/govt and not to government processes,family,family,religion,religion,communities,communities,authentic,authentic,emotional tone,emotional tone,positive emotions,positive emotions,negative emotions,negative emotions,male references,male references,female references,female references,feel,feel,festival,festival,leisure,leisure,body,body,health,health,friends,friends,non-elite,non-elite,home,home,use of simple words (matlab six or less characters),use of simple words (matlab six or less characters),use of short sentences (matlab number of dots,use of short sentences (matlab number of dots,Use of non conceptual notions,Use of non conceptual notions,numbers,numbers,cognitive processes,cognitive processes,motion,motion,past focus,past focus,certainty,certainty,time,time,festival and cultural nationalism,festival and cultural nationalism,"use conceptual notions (.*ity, .*ely, .*ism, .*ily, .*logy, .*ness, .*tion, .*tive, .*ment)","use conceptual notions (.*ity, .*ely, .*ism, .*ily, .*logy, .*ness, .*tion, .*tive, .*ment)",elite,elite,rhetorical questions/interrogatives,rhetorical questions/interrogatives
accountability,nc,Academy,c,Aam_Aadmi_Party,nc,I,nc,,,let's,nc,he,nc,their*,nc,abstain*,nc,absolutely,nc,poll,nc,anniversay,nc,aunt*,nc,Abdullah,nc,adivasi,nc,,,abandon*,nc,:),nc,sad,nc,Akbar,nc,aunt*,nc,,,,,3ds,nc,abdomen*,nc,abortion*,nc,accomplice*,nc,citizen,nc,address,nc,people,nc,,,accurately,nc,1,nc,abnormal*,nc,action*,nc,accepted,nc,absolute,nc,abrupt*,nc,aapka,nc,ability,nc,lutyens,nc,What,c
accountable,nc,Act,nc,AAP,c,i,nc,,,lets,nc,he'd,nc,them,nc,alarm*,nc,agree,nc,campaign,nc,Award,nc,babies,nc,adharma,nc,Backward,nc,,,abuse*,nc,(:,nc,agony,nc,Amar,nc,bachelorette,nc,,,,,actor*,nc,abs,nc,ache*,nc,acquainta*,nc,comman_man,nc,apartment*,nc,should,nc,,,action,nc,2,nc,absolute,nc,advanc*,nc,added,nc,absolutely,nc,after,nc,ahinsa,nc,absolutely,nc,arrogant,nc,When,c
Act,c,administration,nc,ABGL,c,i'd,nc,,,our,nc,he's,nc,themself,nc,apprehens*,nc,ah,nc,candidate,nc,Ayushman,nc,baby,nc,afterlife*,nc,Bahujan,nc,,,abusi*,nc,accept,nc,pettiness,nc,bachelor,nc,bride*,nc,,,,,actress*,nc,anal,nc,aching*,nc,ally,nc,daily_,nc,backyard,nc,Indian,nc,,,active,nc,3,nc,absolutely,nc,along,nc,admitted,nc,accura*,nc,aftermath*,nc,Amrit,nc,accomplishment,nc,Baron,nc,Where,c
Address,nc,Advisory,nc,ABVP,c,i'd've,nc,,,ours,nc,her,nc,themselves,nc,averse,nc,aight,nc,cast,nc,bill,nc,bandhan,nc,agnost*,nc,Bahujans,nc,,,adharma,nc,accepta*,nc,separat*,nc,bachelor'*,nc,chick,nc,,,,,aerobic*,nc,ankle*,nc,acne,nc,amigo*,nc,earners,nc,bake*,nc,cannot,nc,,,activity,nc,4,nc,accept,nc,approach,nc,affected,nc,all,nc,afternoon*,nc,apna,nc,accountability,nc,betray*,nc,Why,c
adopt,nc,Affairs,c,AGP,c,i'll,nc,,,ourselves,nc,hers,nc,they,nc,aversi*,nc,alright*,nc,election,nc,Bima,nc,bequeath,nc,ahimsa,nc,Buddhism,nc,,,admiration,nc,accepted,nc,vulgar,nc,bachelors,nc,chick'*,nc,,,,,alcohol*,nc,anus*,nc,addict*,nc,babe*,nc,farmer,nc,baking,nc,growth,nc,,,adequately,nc,5,nc,accepta*,nc,approached,nc,ago,nc,altogether,nc,afterthought*,nc,ayodhya,nc,achievement,nc,Macaulay,nc,How,c
affiliation,nc,Agency,c,AIADMK,c,i'm,nc,,,us,nc,herself,nc,they'd,nc,avert*,nc,aok,nc,contest,nc,budget,nc,Beti,nc,alla,nc,Buddhist,nc,,,afraid,nc,accepting,nc,absuive,nc,beau,nc,chicks,nc,,,,,amus*,nc,arch,nc,advil,nc,bae,nc,hard_work,nc,balcon*,nc,nation,nc,,,administration,nc,6,nc,accepted,nc,approaches,nc,already,nc,always,nc,afterward*,nc,Ayurveda,nc,achievement,nc,bribe,nc,Which,c
agenda,nc,All_India_Radio,c,AIFB,c,i've,nc,,,we,nc,hes,nc,they'll,nc,avoid*,nc,aw,nc,electorate,nc,cause,nc,bhai,nc,allah*,nc,caste,nc,,,aggravat*,nc,accepts,nc,evil,nc,bf,nc,cowgirl*,nc,,,,,art,nc,arm,nc,aerobic*,nc,beau,nc,hard-work,nc,bath*,nc,social,nc,,,administrative,nc,7,nc,accepting,nc,approaching,nc,appeared,nc,apparent,nc,again,nc,baat,nc,acquisition,nc,bureaucrat*,nc,Who,c
