1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedC,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,,poprelatedE,
popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popaverseC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popproneC,,popaverseE,,popaverseE,,popaverseE,,popaverseE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,,popproneE,
simplicityaverse,,simplicityaverse,,simplicityaverse,,simplicityaverse,,simplicityaverse,,deintermediationaverse,,deintermediationaverse,,intimacyaverse,,deintermediationaverse,,deintermediationaverse,,deintermediationaverse,,deintermediationaverse,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,intimacyprone,,simplicityprone,,simplicityprone,,simplicityprone,,simplicityprone,,simplicityprone,,simplicityprone,,simplicityprone,,simplicityprone,,simplicityprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,deintermediationprone,,emoacrimonyaverse,,emoacrimonyaverse,,authorityaverse,,authorityaverse,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,emoacrimonyprone,,authorityprone,,authorityprone,,authorityprone,,authorityprone,,authorityprone,,authorityprone,
longwords,,cognitivepro,,cognitivepro,,conceptualnotion,,principles,,institutionalpro,,politicalparties,,we,,assent,,assent,,insight,,insight,,thirdsp,,family,,family,,religion,,religion,,gendered,,gendered,,leisure,,leisure,,body,,body,,health,,health,,friends,,friends,,home,,home,,pronouns,,phyfeel,,phyfeel,,foodfarm,,foodfarm,,money,,money,,festival,,elite,,nonelite,,shortsentences,,numbers,,pastfocus,,culturalnationalism,,time,,time,,iyou,,electoralpro,,personalgov,,rhetoricalq,,futurefocus,,persreward,,persreward,,motion,,motion,,positiveemo,,positiveemo,,tentative,,tentative,,negativeemo,,negativeemo,,anger,,anger,,anxiety,,anxiety,,sadness,,sadness,,swearwords,,swearwords,,risk,,risk,,communities,,conflict,,conflict,,certainty,,certainty,,achieve,,achieve,,power,,power,
seedlist,,seed,,extension,,adhoc,,adhoc,,adhoc,,adhoc,,seed,,seed,,extension,,seed,,extension,,seed,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,seed,,extension,,seed,,extension,,seed,,extension,,adhoc,,adhoc,,adhoc,,adhoc,,adhoc,,seed,,adhoc,,seed,,extension,,seed,,adhoc,,adhoc,,adhoc,,seed,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,,adhoc,,seed,,extension,,seed,,extension,,seed,,extension,,seed,,extension,
%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,,%,
abandonment,nc,abnormal*,nc,accommodat*,nc,ability,nc,acceptance,nc,Academy,c,Aam_Aadmi_Party,nc,let's,nc,absolutely,nc,accept,nc,accept,nc,approach,nc,he,nc,aunt*,nc,bacca,nc,afterlife*,nc,Abbott,nc,aunt*,nc,Devi,nc,3ds,nc,app,nc,abdomen*,nc,mind,nc,abortion*,nc,ailment ,nc,accomplice*,nc,hospitality,nc,address,nc,Awaas,nc,another,nc,ache*,nc,bite,nc,alcohol*,nc,acre,nc,account*,nc,%',c,Amavasya,nc,abuse*,nc,adivasi,nc,.',c,zero,nc,accepted,nc,ahimsa,nc,abrupt*,nc,death,nc,I,nc,ballot,nc,Aadhar,c,?',c,ahead,nc,access*,nc,reap,nc,action*,nc,ahead,nc,accept,nc,boundless,nc,allot,nc,although,nc,abandon*,nc,abduct*,nc,abuse*,nc,absurd,nc,afraid,nc,abduct*,nc,abandon*,nc,abuse*,nc,arse,nc,bigot*,nc,abstain*,nc,challenging_situation,nc,adivasi*,nc,against,nc,agit*,nc,absolute,nc,affirm*,nc,abilit*,nc,adopted,nc,a-list*,nc,Abbott,nc
abdication,nc,absolute,nc,according,nc,absolutely,nc,assimilation,nc,accord,nc,AAP,c,lets,nc,agree,nc,certainly,nc,accepta*,nc,approached,nc,he'd,nc,babies,nc,bacce,nc,agnost*,nc,adharma,nc,bachelor,nc,Durga,nc,actor*,nc,ayurved*,nc,abs,nc,tears,nc,ache*,nc,allopathic,nc,acquainta*,nc,invite,nc,apartment*,nc,bhavan,nc,anybod*,nc,aching*,nc,hit,nc,anorexi*,nc,agro,nc,accrue*,nc,accumulate,nc,Ashura,nc,apologis*,nc,aspiration,nc,,,ten,nc,added,nc,amrit,nc,after,nc,memories,nc,i'd,nc,booth,nc,Abhiyan,c,,,anticipate*,nc,accrue*,nc,accomplish,nc,advanc*,nc,along,nc,accepta*,nc,brightest,nc,almost,nc,howsoever,nc,abuse*,nc,absurd,nc,abusi*,nc,abusive,nc,alarm*,nc,accident,nc,agoniz*,nc,afflict*,nc,arsehole*,nc,creep,nc,alarm*,nc,difficult_situation,nc,Afghan,nc,aint,nc,agress*,nc,absolutely,nc,boldly,nc,able,nc,adopting,nc,above,nc,alumn*,nc
aberration,nc,absolutely,nc,accountability,nc,accomplishment*,nc,brotherhood,nc,accountab*,nc,ABGL,c,our,nc,ah,nc,constructive,nc,accepted,nc,approaches,nc,he's,nc,baby,nc,baccha,nc,alla,nc,ahimsa,nc,bachelor'*,nc,goddess,nc,actress*,nc,Bollywood,nc,anal,nc,soul,nc,aching*,nc,anganwadi,nc,ally,nc,invited,nc,backyard,nc,bill,nc,anymore,nc,brush*,nc,shake,nc,antacid*,nc,apple*,nc,affordable,nc,accumulation,nc,Baisakhi,nc,apologiz*,nc,billion_Indians,nc,,,fifty,nc,admitted,nc,amrita,nc,aftermath*,nc,passed,nc,Ild,nc,campaign,nc,announc*,nc,,,anticipation,nc,accumul*,nc,accomplished,nc,approach,nc,back,nc,accepted,nc,celebration,nc,alot,nc,I_confess,nc,abusi*,nc,accident,nc,aggravat*,nc,accuse,nc,anxiety,nc,affect,nc,agony,nc,agitated,nc,arses,nc,termite*,nc,apprehens*,nc,grave_situation,nc,Akali,nc,ain't,nc,angry,nc,accura*,nc,boldness,nc,accomplish*,nc,allocat*,nc,acclaimed,nc,ble,nc
aberrations,nc,accept,nc,accustomed,nc,accountability,nc,civilisational,nc,Act,c,ABVP,c,ours,nc,aight,nc,mutual,nc,accepting,nc,correct*,nc,her,nc,bond,nc,bacche,nc,allah*,nc,amarnath,nc,bachelorette,nc,guru,nc,aerobic*,nc,chai,nc,ankle*,nc,souls,nc,acne,nc,antibiotic,nc,amigo*,nc,tie,nc,bake*,nc,bills,nc,anyone*,nc,burn,nc,shakes,nc,appeti*,nc,bamboo,nc,atm,nc,affluent,nc,Bhogi,nc,appeasement,nc,brother*,nc,,,twenty,nc,affected,nc,ayodhya,nc,afternoon*,nc,tenure,nc,i'd've,nc,candidate,nc,Antyodaya,c,,,approaching,nc,achievable,nc,perform,nc,approached,nc,bicycle,nc,accepting,nc,congratulat*,nc,ambigu*,nc,I_may_confess,nc,ache*,nc,accuse,nc,aggress,nc,agress*,nc,anxious,nc,affected,nc,alone,nc,baffle*,nc,asf,nc,cockroach*,nc,averse,nc,gravity,nc,Ambekarite*,nc,apart,nc,assault,nc,all,nc,categorically,nc,ace,nc,amplifi*,nc,administr*,nc,Chairman,nc
